Id,Year,Total,White,Black or African American,Hispanic,Asian
1500000US220710025044,2000,641,189,440,26,0
1500000US220710026001,2000,774,553,197,32,2
1500000US220710026002,2000,852,708,102,51,13
1500000US220710027001,2000,909,18,884,7,0
1500000US220710027002,2000,797,59,700,48,5
1500000US220710027003,2000,804,2,784,20,1
1500000US220710028001,2000,673,2,654,18,0
1500000US220710028002,2000,841,5,823,21,0
1500000US220710028003,2000,571,2,546,18,1
1500000US220710029001,2000,800,17,776,18,3
1500000US220710029003,2000,846,10,832,10,3
1500000US220710029004,2000,663,3,643,17,1
1500000US220710030001,2000,960,10,939,4,0
1500000US220710030002,2000,1012,9,981,3,0
1500000US220710031001,2000,650,5,620,10,0
1500000US220710031002,2000,1286,25,1221,17,1
1500000US220710033011,2000,1243,930,237,71,32
1500000US220710033012,2000,778,534,203,41,25
1500000US220710033013,2000,797,501,241,30,29
1500000US220710033021,2000,813,270,510,34,1
1500000US220710033022,2000,1547,14,1493,40,3
1500000US220710033023,2000,1000,161,811,11,18
1500000US220710033024,2000,805,258,531,35,3
1500000US220710033031,2000,975,461,390,73,77
1500000US220710033032,2000,891,377,405,45,88
1500000US220710033033,2000,648,266,300,51,38
1500000US220710033041,2000,1352,397,894,72,6
1500000US220710033042,2000,1452,254,1129,57,7
1500000US220710033051,2000,605,61,534,10,3
1500000US220710033052,2000,568,5,558,2,0
1500000US220710033063,2000,3643,6,3616,25,0
1500000US220710033064,2000,1611,6,1604,12,0
1500000US220710033071,2000,1033,28,987,6,2
1500000US220710033072,2000,656,17,628,7,0
1500000US220710033081,2000,593,178,385,23,1
1500000US220710033082,2000,1058,101,916,22,4
1500000US220710033083,2000,1405,108,1256,58,0
1500000US220710033084,2000,519,23,483,6,4
1500000US220710033085,2000,607,19,563,4,7
1500000US220710033086,2000,600,28,535,8,0
1500000US220710034001,2000,1000,38,949,6,0
1500000US220710034002,2000,1008,153,829,24,2
1500000US220710035001,2000,647,17,607,9,0
1500000US220710035002,2000,734,19,698,12,0
1500000US220710035003,2000,480,37,437,12,0
1500000US220710036001,2000,647,21,594,16,2
1500000US220710036002,2000,928,16,903,28,0
1500000US220710036003,2000,699,86,595,11,0
1500000US220710037011,2000,664,137,503,25,0
1500000US220710037012,2000,1487,651,794,34,4
1500000US220710037021,2000,863,33,819,21,1
1500000US220710037022,2000,657,50,592,14,0
1500000US220710037023,2000,606,33,551,32,1
1500000US220710037024,2000,879,82,781,14,0
1500000US220710037025,2000,483,322,149,17,2
1500000US220710037026,2000,936,497,398,58,3
1500000US220710038001,2000,853,780,32,27,8
1500000US220710038002,2000,873,806,24,19,17
1500000US220710039001,2000,818,132,663,14,0
1500000US220710039002,2000,629,120,494,8,1
1500000US220710040001,2000,1498,115,1346,40,2
1500000US220710040002,2000,1084,58,1008,29,2
1500000US220710041001,2000,679,502,130,25,23
1500000US220710041002,2000,1041,536,442,31,15
1500000US220710042001,2000,786,720,44,26,6
1500000US220710042002,2000,654,617,14,15,9
1500000US220710042003,2000,615,570,26,11,5
1500000US220710044011,2000,885,25,835,10,0
1500000US220710044012,2000,699,10,685,7,0
1500000US220710044013,2000,736,6,720,12,0
1500000US220710044021,2000,1184,3,1177,6,0
1500000US220710044022,2000,1320,2,1314,6,0
1500000US220710045001,2000,1099,216,848,43,5
1500000US220710045002,2000,1294,55,1223,14,0
1500000US220710045003,2000,748,39,680,41,0
1500000US220710046001,2000,653,604,30,21,7
1500000US220710046002,2000,1439,1202,173,56,23
1500000US220710046003,2000,721,599,66,71,10
1500000US220710047001,2000,395,343,40,10,6
1500000US220710048001,2000,2540,22,2504,21,0
1500000US220710049001,2000,834,28,771,38,6
1500000US220710049002,2000,927,2,924,2,0
1500000US220710049003,2000,566,94,443,28,11
1500000US220710049004,2000,641,69,554,25,8
1500000US220710050001,2000,700,349,246,157,9
1500000US220710050002,2000,966,180,671,156,1
1500000US220710054001,2000,493,432,22,36,7
1500000US220710054002,2000,539,406,107,36,3
1500000US220710054003,2000,604,321,239,54,5
1500000US220710055001,2000,1082,1037,11,47,5
1500000US220710055002,2000,911,804,66,59,6
1500000US220710055003,2000,915,842,27,49,9
1500000US220710056011,2000,791,770,0,32,7
1500000US220710056012,2000,1005,972,12,26,10
1500000US220710056013,2000,549,522,4,28,13
1500000US220710056014,2000,581,559,6,31,4
1500000US220710056021,2000,703,674,1,25,11
1500000US220710056022,2000,918,900,0,26,3
1500000US220710056023,2000,876,854,0,27,10
1500000US220710056024,2000,663,654,6,7,1
1500000US220710056031,2000,747,732,9,28,0
1500000US220710056032,2000,551,534,5,28,1
1500000US220710056033,2000,545,507,10,29,8
1500000US220710056041,2000,619,594,10,29,0
1500000US220710056042,2000,822,807,2,26,5
1500000US220710056043,2000,505,494,5,22,3
1500000US220710057001,2000,510,449,35,20,18
1500000US220710058001,2000,487,262,104,19,78
1500000US220710059001,2000,797,312,460,19,10
1500000US220710060001,2000,1266,411,643,15,187
